"","z-stat","OR","p-val"
"Model I, g"," 5.0400158e+00"," 1.1711324e+00"," 4.6549352e-07"
"Model II, g"," 5.1999380e+00"," 1.1777709e+00"," 1.9935505e-07"
"Model II, s"," 8.2282654e+00"," 1.4791504e+00"," 2.2204460e-16"
"Model III, g"," 6.0001050e+00"," 1.2426452e+00"," 1.9718998e-09"
"Model III, s"," 8.0564688e+00"," 1.6895351e+00"," 8.8817842e-16"
"Model III, g:s","-3.0095056e+00"," 8.0249334e-01"," 2.6167323e-03"
"Model IV, g, s=0"," 6.0001164e+00"," 1.2426452e+00"," 1.9717619e-09"
"Model IV, g, s=1","-4.5503802e-02"," 9.9721450e-01"," 9.6370574e-01"
