"","z-stat","OR","p-val"
"Model I, g"," 5.4612817e+00"," 1.1887930e+00"," 4.7270933e-08"
"Model II, g"," 5.4793698e+00"," 1.1901665e+00"," 4.2684346e-08"
"Model II, s"," 7.8442697e+00"," 1.4330664e+00"," 4.4408921e-15"
"Model III, g"," 4.6697321e+00"," 1.1904256e+00"," 3.0159276e-06"
"Model III, s"," 5.7781625e+00"," 1.4338122e+00"," 7.5520865e-09"
"Model III, g:s","-1.2465329e-02"," 9.9922370e-01"," 9.9005436e-01"
"Model IV, g, s=0"," 4.6697460e+00"," 1.1904256e+00"," 3.0157232e-06"
"Model IV, g, s=1"," 2.8634325e+00"," 1.1895015e+00"," 4.1907806e-03"
