"","z-stat","OR","p-val"
"Model I, g","NaN","NaN","NaN"
"Model II, g","NaN","NaN","NaN"
"Model II, s","NaN","NaN","NaN"
"Model III, g","NaN","NaN","NaN"
"Model III, s","NaN","NaN","NaN"
"Model III, g:s","NaN","NaN","NaN"
"Model IV, g, s=0","NaN","NaN","NaN"
"Model IV, g, s=1","NaN","NaN","NaN"
