"","z-stat","SD of z","OR","p-val"
"Model I, g","NA","NA","NA","NA"
"Model II, g","NA","NA","NA","NA"
"Model II, s","NA","NA","NA","NA"
"Model III, g","NA","NA","NA","NA"
"Model III, s","NA","NA","NA","NA"
"Model III, g:s","NA","NA","NA","NA"
"Model IV, g, s=0","NA","NA","NA","NA"
"Model IV, g, s=1","NA","NA","NA","NA"
