"","z-stat","OR","p-val"
"Model I, g"," 3.8590177e+00"," 1.1281409e+00"," 1.1384371e-04"
"Model II, g"," 2.9333870e+00"," 1.0979815e+00"," 3.3528567e-03"
"Model II, s"," 1.8440601e+01"," 2.3222959e+00"," 0.0000000e+00"
"Model III, g","-9.7530410e-03"," 9.9959024e-01"," 9.9221832e-01"
"Model III, s"," 1.0203226e+01"," 1.9080981e+00"," 0.0000000e+00"
"Model III, g:s"," 4.4173675e+00"," 1.3635098e+00"," 9.9910294e-06"
"Model IV, g, s=0","-9.7533632e-03"," 9.9959024e-01"," 9.9221807e-01"
"Model IV, g, s=1"," 5.2665572e+00"," 1.3629511e+00"," 1.3900591e-07"
