"","z-stat","OR","p-val"
"Model I, g"," 5.3771055e+00"," 1.1823280e+00"," 7.5692828e-08"
"Model II, g"," 5.3461620e+00"," 1.1844519e+00"," 8.9838826e-08"
"Model II, s"," 1.7417672e+01"," 2.2063778e+00"," 0.0000000e+00"
"Model III, g"," 4.6016239e+00"," 1.1897525e+00"," 4.1920969e-06"
"Model III, s"," 1.2724760e+01"," 2.2272872e+00"," 0.0000000e+00"
"Model III, g:s","-2.1604120e-01"," 9.8535093e-01"," 8.2895563e-01"
"Model IV, g, s=0"," 4.6016240e+00"," 1.1897525e+00"," 4.1920947e-06"
"Model IV, g, s=1"," 2.7311832e+00"," 1.1723237e+00"," 6.3107377e-03"
