"","z-stat","OR","p-val"
"Model I, g","5.4850753e+00","1.1896611e+00","4.1329345e-08"
"Model II, g","5.5313374e+00","1.1931777e+00","3.1779833e-08"
"Model II, s","1.2487645e+01","1.7791492e+00","0.0000000e+00"
"Model III, g","4.7023494e+00","1.1927569e+00","2.5718485e-06"
"Model III, s","9.1778844e+00","1.7778712e+00","0.0000000e+00"
"Model III, g:s","1.6920624e-02","1.0013614e+00","9.8649994e-01"
"Model IV, g, s=0","4.7023503e+00","1.1927569e+00","2.5718373e-06"
"Model IV, g, s=1","2.9098166e+00","1.1943808e+00","3.6164092e-03"
