"","z-stat","OR","p-val"
"Model I, g"," 5.3622411e+00"," 1.1819924e+00"," 8.2195739e-08"
"Model II, g"," 5.3637088e+00"," 1.1841324e+00"," 8.1530287e-08"
"Model II, s"," 1.3954900e+01"," 1.9029068e+00"," 0.0000000e+00"
"Model III, g"," 4.6425935e+00"," 1.1877078e+00"," 3.4406283e-06"
"Model III, s"," 1.0202389e+01"," 1.9159417e+00"," 0.0000000e+00"
"Model III, g:s","-1.5464361e-01"," 9.8934082e-01"," 8.7710229e-01"
"Model IV, g, s=0"," 4.6426108e+00"," 1.1877078e+00"," 3.4403407e-06"
"Model IV, g, s=1"," 2.6900940e+00"," 1.1750478e+00"," 7.1431890e-03"
