"","z-stat","OR","p-val"
"Model I, g"," 4.4553933e+00"," 1.1490131e+00"," 8.3739525e-06"
"Model II, g"," 4.9319191e+00"," 1.1684109e+00"," 8.1425637e-07"
"Model II, s"," 1.4613991e+01"," 1.9519687e+00"," 0.0000000e+00"
"Model III, g"," 5.7855072e+00"," 1.2398130e+00"," 7.2293880e-09"
"Model III, s"," 1.2710005e+01"," 2.2218498e+00"," 0.0000000e+00"
"Model III, g:s","-3.0348813e+00"," 8.0838793e-01"," 2.4063040e-03"
"Model IV, g, s=0"," 5.7855102e+00"," 1.2398130e+00"," 7.2292574e-09"
"Model IV, g, s=1"," 3.4556136e-02"," 1.0022499e+00"," 9.7243368e-01"
