"","Real data","Table 4","Supp. Table 1","Supp. Table 2","Supp. Table 3","Supp. Table 4","Supp. Table 5","Supp. Table 6","Supp. Table 7","Supp. Table 8"
"Case","0.35","0.33","0.36","0.29","0.34","0.31","0.30","0.30","0.33","0.40"
"Control","0.22","0.22","0.23","0.22","0.22","0.23","0.23","0.26","0.24","0.22"
