"","z-stat","OR","p-val"
"Model I, g"," 4.5376764e+00"," 1.1404982e+00"," 5.6877452e-06"
"Model II, g"," 4.8045222e+00"," 1.1502831e+00"," 1.5512150e-06"
"Model II, s"," 9.8320544e+00"," 1.5816120e+00"," 0.0000000e+00"
"Model III, g"," 5.5878354e+00"," 1.2097708e+00"," 2.2991735e-08"
"Model III, s"," 7.9751723e+00"," 1.9142103e+00"," 1.5543122e-15"
"Model III, g:s","-2.8698727e+00"," 8.2763225e-01"," 4.1063711e-03"
"Model IV, g, s=0"," 5.5878696e+00"," 1.2097708e+00"," 2.2987211e-08"
"Model IV, g, s=1"," 2.2587200e-02"," 1.0012454e+00"," 9.8197955e-01"
