"","z-stat","OR","p-val"
"Model I, g","4.2683075e+00","1.1424253e+00","1.9696173e-05"
"Model II, g","3.3251545e+00","1.1112077e+00","8.8369558e-04"
"Model II, s","1.6625355e+01","2.1422409e+00","0.0000000e+00"
"Model III, g","5.2539610e-02","1.0019909e+00","9.5809874e-01"
"Model III, s","8.4707015e+00","1.7162257e+00","0.0000000e+00"
"Model III, g:s","4.9337303e+00","1.4138441e+00","8.0673833e-07"
"Model IV, g, s=0","5.2538626e-02","1.0019909e+00","9.5809952e-01"
"Model IV, g, s=1","5.9034113e+00","1.4166590e+00","3.5606100e-09"
