"","z-stat","OR","p-val"
"Model I, g"," 4.8683410e+00"," 1.1640041e+00"," 1.1253903e-06"
"Model II, g"," 5.1256727e+00"," 1.1742861e+00"," 2.9647732e-07"
"Model II, s"," 8.8521079e+00"," 1.5130755e+00"," 0.0000000e+00"
"Model III, g"," 5.9653691e+00"," 1.2419775e+00"," 2.4408169e-09"
"Model III, s"," 8.5447488e+00"," 1.7296217e+00"," 0.0000000e+00"
"Model III, g:s","-3.0672502e+00"," 8.0238071e-01"," 2.1603796e-03"
"Model IV, g, s=0"," 5.9653867e+00"," 1.2419775e+00"," 2.4405538e-09"
"Model IV, g, s=1","-5.7648758e-02"," 9.9653880e-01"," 9.5402841e-01"
