"","z-stat","OR","p-val"
"Model I, g","5.4763885e+00","1.1860512e+00","4.3409420e-08"
"Model II, g","5.4533929e+00","1.1867018e+00","4.9417702e-08"
"Model II, s","1.1756210e+01","1.7238969e+00","0.0000000e+00"
"Model III, g","4.6464694e+00","1.1862414e+00","3.3766426e-06"
"Model III, s","8.4794696e+00","1.7223859e+00","0.0000000e+00"
"Model III, g:s","2.0086982e-02","1.0015938e+00","9.8397398e-01"
"Model IV, g, s=0","4.6465021e+00","1.1862414e+00","3.3761062e-06"
"Model IV, g, s=1","2.8526931e+00","1.1881321e+00","4.3350461e-03"
