"","z-stat","OR","p-val"
"Model I, g"," 5.4830470e+00"," 1.1875269e+00"," 4.1806179e-08"
"Model II, g"," 5.5068021e+00"," 1.1897575e+00"," 3.6541071e-08"
"Model II, s"," 1.0997882e+01"," 1.6837152e+00"," 0.0000000e+00"
"Model III, g"," 4.8284599e+00"," 1.1924963e+00"," 1.3759303e-06"
"Model III, s"," 8.0939654e+00"," 1.6931101e+00"," 6.6613381e-16"
"Model III, g:s","-1.2480905e-01"," 9.9118493e-01"," 9.0067472e-01"
"Model IV, g, s=0"," 4.8284947e+00"," 1.1924963e+00"," 1.3756902e-06"
"Model IV, g, s=1"," 2.6503252e+00"," 1.1819843e+00"," 8.0414330e-03"
