"","z-stat","OR","p-val"
"Model I, g"," 4.9158682e+00"," 1.1682972e+00"," 8.8389845e-07"
"Model II, g"," 4.9227733e+00"," 1.1688105e+00"," 8.5326279e-07"
"Model II, s"," 4.9983409e+00"," 1.2565575e+00"," 5.7825680e-07"
"Model III, g"," 5.8225079e+00"," 1.2431606e+00"," 5.7971061e-09"
"Model III, s"," 5.7863346e+00"," 1.4339600e+00"," 7.1938844e-09"
"Model III, g:s","-3.1266457e+00"," 8.0211290e-01"," 1.7681287e-03"
"Model IV, g, s=0"," 5.8225051e+00"," 1.2431606e+00"," 5.7972021e-09"
"Model IV, g, s=1","-4.7515886e-02"," 9.9715516e-01"," 9.6210207e-01"
