"","z-stat","OR","p-val"
"Model I, g"," 4.9801053e+00"," 1.1707154e+00"," 6.3549686e-07"
"Model II, g"," 5.0051819e+00"," 1.1725786e+00"," 5.5809317e-07"
"Model II, s"," 9.6221270e+00"," 1.5548297e+00"," 0.0000000e+00"
"Model III, g"," 5.9273600e+00"," 1.2488088e+00"," 3.0784366e-09"
"Model III, s"," 9.2098463e+00"," 1.7798672e+00"," 0.0000000e+00"
"Model III, g:s","-3.1869858e+00"," 7.9815641e-01"," 1.4376385e-03"
"Model IV, g, s=0"," 5.9273566e+00"," 1.2488088e+00"," 3.0785006e-09"
"Model IV, g, s=1","-5.4645081e-02"," 9.9674475e-01"," 9.5642122e-01"
