"","z-stat","OR","p-val"
"Model I, g"," 5.5679952e+00"," 1.4164803e+00"," 2.5768686e-08"
"Model II, g"," 5.5672618e+00"," 1.4213255e+00"," 2.5877345e-08"
"Model II, s"," 1.3878241e+01"," 1.8961642e+00"," 0.0000000e+00"
"Model III, g"," 4.8656018e+00"," 1.4314813e+00"," 1.1410904e-06"
"Model III, s"," 1.3187737e+01"," 1.9015917e+00"," 0.0000000e+00"
"Model III, g:s","-1.8230619e-01"," 9.7595320e-01"," 8.5534244e-01"
"Model IV, g, s=0"," 4.8656444e+00"," 1.4314813e+00"," 1.1408446e-06"
"Model IV, g, s=1"," 2.7144762e+00"," 1.3970588e+00"," 6.6380670e-03"
