"","z-stat","OR","p-val"
"Model I, g"," 4.6667197e+00"," 1.1567645e+00"," 3.0604645e-06"
"Model II, g"," 4.9895759e+00"," 1.1697999e+00"," 6.0512010e-07"
"Model II, s"," 1.1142691e+01"," 1.6781934e+00"," 0.0000000e+00"
"Model III, g"," 5.8539004e+00"," 1.2389875e+00"," 4.8017617e-09"
"Model III, s"," 1.0218132e+01"," 1.9171647e+00"," 0.0000000e+00"
"Model III, g:s","-3.0763724e+00"," 8.0319743e-01"," 2.0953599e-03"
"Model IV, g, s=0"," 5.8539374e+00"," 1.2389875e+00"," 4.8006930e-09"
"Model IV, g, s=1","-8.1020765e-02"," 9.9515156e-01"," 9.3542544e-01"
