"","z-stat","OR","p-val"
"Model I, g"," 4.9651241e+00"," 1.3662030e+00"," 6.8657142e-07"
"Model II, g"," 5.3724419e+00"," 1.4057073e+00"," 7.7677454e-08"
"Model II, s"," 1.2887506e+01"," 1.8145690e+00"," 0.0000000e+00"
"Model III, g"," 6.1311805e+00"," 1.5595647e+00"," 8.7229379e-10"
"Model III, s"," 1.3161044e+01"," 1.8976861e+00"," 0.0000000e+00"
"Model III, g:s","-2.9970095e+00"," 6.4456155e-01"," 2.7264224e-03"
"Model IV, g, s=0"," 6.1312742e+00"," 1.5595647e+00"," 8.7177976e-10"
"Model IV, g, s=1"," 2.8673421e-02"," 1.0052354e+00"," 9.7712505e-01"
